RelationshipToInsuredLabel,RelationshipToInsuredValue,GenderLabel,GenderValue,DriverStatusLabel,DriverStatusValue,MaritalStatusLabel,MaritalStatusValue,DLStatusLabel,DLStatusValue,StateLabel,StateValue,SR22Label,SR22Value
Self,Self,Male,male,Principal,principal,Single,single,Valid,valid,Alabama,al,Yes,yes
Husband,husband,Female,female,,,Married,married,Revoked,revoked,Alaska,ak,No,no
Wife,wife,,,,,Divorced,divorced,Suspended,suspended,Arizona,az,,
Son,son,,,,,Widowed,widowed,Other,other,Arkansas,ar,,
Daughter,daughter,,,,,,,NoLicense,nolicense,California,ca,,
Mother,mother,,,,,,,International,international,Colorado,co,,
Father,Father,,,,,,,Cancelled,cancelled,Connecticut,ct,,
Father-In-Law,fatherinlaw,,,,,,,Expired,expired,Delaware,de,,
Mother-In-Law,motherinlaw,,,,,,,,,Florida,fl,,
Employee,employee,,,,,,,,,Georgia,ga,,
Spouse,spouse,,,,,,,,,Hawaii,hi,,
Other,other,,,,,,,,,Idaho,id,,
,,,,,,,,,,Illinois,il,,
,,,,,,,,,,Indiana,in,,
,,,,,,,,,,Iowa,ia,,
,,,,,,,,,,Kansas,ks,,
,,,,,,,,,,Kentucky,ky,,
,,,,,,,,,,Louisiana,la,,
,,,,,,,,,,Maine,me,,
,,,,,,,,,,Maryland,md,,
,,,,,,,,,,Massachusetts,ma,,
,,,,,,,,,,Michigan,mi,,
,,,,,,,,,,Minnesota,mn,,
,,,,,,,,,,Mississippi,ms,,
,,,,,,,,,,Missouri,mo,,
,,,,,,,,,,Montana,mt,,
,,,,,,,,,,Nebraska,ne,,
,,,,,,,,,,Nevada,nv,,
,,,,,,,,,,New Hampshire,nh,,
,,,,,,,,,,New Jersey,nj,,
,,,,,,,,,,New Mexico,nm,,
,,,,,,,,,,New York,ny,,
,,,,,,,,,,North Carolina,nc,,
,,,,,,,,,,North Dakota,nd,,
,,,,,,,,,,Ohio,oh,,
,,,,,,,,,,Oklahoma,ok,,
,,,,,,,,,,Oregon,or,,
,,,,,,,,,,Pennsylvania,pa,,
,,,,,,,,,,Rhode Island,ri,,
,,,,,,,,,,South Carolina,sc,,
,,,,,,,,,,South Dakota,sd,,
,,,,,,,,,,Tennessee,tn,,
,,,,,,,,,,Texas,tx,,
,,,,,,,,,,Utah,ut,,
,,,,,,,,,,Vermont,vt,,
,,,,,,,,,,Virginia,va,,
,,,,,,,,,,Washington,wa,,
,,,,,,,,,,West Virginia,wv,,
,,,,,,,,,,Wisconsin,wi,,
,,,,,,,,,,Wyoming,wy,,